代碼,名稱,產業,上月實際(百萬),上月MoM%,預測(百萬),預測MoM%,預測YoY%,近3月YoY中位,加速度pp,兩法一致,基期註記,大戶週Δpp,法人5日(張)
6415,矽力*-KY,半導體業,2416.6,2.5,2540.7,5.1,52.5,52.5,24.4,—,,-0.31,-2805
3016,嘉晶,半導體業,506.7,5.1,511.4,0.9,52.3,51.4,18.6,✅,,-0.58,2035
2646,星宇航空,航運業,5578.7,-2.6,4470.1,-19.9,51.8,42.8,9.7,❌,,-0.1,-5860
5291,邑昇,電子零組件業,144.9,-21.8,148.3,2.3,51.6,61.4,19.8,❌,,-0.08,-1
2603,長榮,航運業,48985.7,1.9,45603.6,-6.9,51.4,43.1,38.6,❌,,0.11,5392
6414,樺漢,電腦及週邊設備業,15486.3,-5.6,18489.5,19.4,51.4,55.1,32.9,✅,,-0.75,-1236
3357,臺慶科,電子零組件業,815.4,-6.9,874.4,7.2,51.1,57.4,42.0,✅,,-0.73,39
7751,竑騰,半導體業,241.9,-0.0,265.2,9.6,51.0,51.0,-15.5,—,,-0.0,-15
6949,沛爾生醫-創,生技醫療業,6.5,157.8,2.8,-56.3,50.2,50.2,-24.3,—,,25.85,-8360
3037,欣興,電子零組件業,17745.5,9.2,16986.5,-4.3,50.0,43.7,16.1,✅,,0.06,7948
3624,光頡,電子零組件業,367.1,4.4,339.7,-7.5,49.6,43.3,12.7,✅,,-1.96,-1708
2486,一詮,光電業,777.3,5.1,749.3,-3.6,49.5,42.5,21.3,✅,,-1.25,-2095
6108,競國,電子零組件業,599.1,-8.5,537.4,-10.3,49.3,46.3,19.8,✅,,-0.19,-64
3591,艾笛森,光電業,271.2,0.6,253.1,-6.7,48.8,34.8,29.7,❌,,0.47,-217
6166,凌華,電腦及週邊設備業,1528.6,7.2,1512.9,-1.0,48.8,38.1,-25.0,❌,,-0.85,-2061
2609,陽明,航運業,21611.5,3.7,18985.3,-12.2,48.7,34.6,20.7,❌,,-0.46,29131
3706,神達,電腦及週邊設備業,13557.2,5.6,14875.2,9.7,48.4,80.9,37.8,—,⚠️換檔(YoY將失速),0.75,-12245
8040,九暘,半導體業,86.7,3.4,87.2,0.5,48.3,42.5,-3.5,✅,,-1.92,-1061
5243,乙盛-KY,光電業,1373.2,8.0,1504.1,9.5,48.1,48.1,51.2,—,,-0.47,-699
2354,鴻準,其他電子業,21867.1,2.1,19176.9,-12.3,47.9,37.5,86.8,❌,,0.65,8944
2327,國巨*,電子零組件業,16332.2,1.2,17260.8,5.7,47.8,51.5,28.7,✅,,-1.66,-6893
3017,奇鋐,電腦及週邊設備業,19481.1,4.8,21423.8,10.0,47.7,57.4,-14.2,❌,,0.17,-445
5340,建榮,電子零組件業,284.8,4.4,288.5,1.3,47.6,47.5,29.0,✅,,-0.98,-320
8046,南電,電子零組件業,5352.7,-1.6,5224.8,-2.4,47.6,50.0,11.0,✅,,-1.73,2821
2357,華碩,電腦及週邊設備業,94956.0,12.9,121845.8,28.3,47.5,53.3,19.5,✅,,0.14,-2146
3048,益登,電子通路業,13544.8,-1.5,15690.5,15.8,47.5,54.6,27.9,✅,,-0.55,53
2476,鉅祥,電子零組件業,950.8,-2.0,990.7,4.2,47.4,53.8,11.8,✅,,-0.01,-740
6215,和椿,其他電子業,407.4,7.7,374.3,-8.1,47.3,37.2,-11.4,❌,,0.3,27
6175,立敦,電子零組件業,484.1,2.0,501.2,3.5,47.0,44.0,25.1,✅,,-0.42,-87
3264,欣銓,半導體業,1794.4,1.6,1771.4,-1.3,46.6,46.6,18.8,✅,,1.25,-71
3680,家登,半導體業,839.8,-3.6,867.4,3.3,46.3,49.9,34.0,✅,,2.1,966
8043,蜜望實,電子零組件業,621.9,-18.5,684.4,10.1,46.2,54.5,-5.1,❌,,0.11,-623
3033,威健,電子通路業,12372.7,-14.1,15266.3,23.4,45.8,56.8,41.6,❌,,-0.65,-7473
6139,亞翔,其他電子業,11018.6,0.8,14706.4,33.5,45.7,49.7,-20.9,✅,,-1.17,-731
4991,環宇-KY,半導體業,262.3,80.3,297.5,13.4,45.6,45.6,-8.8,—,,-3.4,-563
2890,永豐金,金融保險業,10051.1,1.0,9448.9,-6.0,45.3,50.9,-31.8,✅,,0.16,6839
2607,榮運,航運業,2073.0,2.4,1922.4,-7.3,45.0,40.6,39.2,✅,,0.28,190
1590,亞德客-KY,電機機械,3707.5,-7.2,4360.8,17.6,44.9,44.9,19.7,—,,0.28,-85
2495,普安,電腦及週邊設備業,161.6,7.8,174.5,8.0,44.8,64.2,3.2,—,⚠️換檔(YoY將失速),-0.22,383
4939,亞電,電子零組件業,173.9,3.4,194.7,12.0,44.8,44.2,35.6,✅,,-1.26,-4927
2492,華新科,電子零組件業,4568.7,2.8,4592.9,0.5,44.6,42.0,25.9,✅,,-0.84,-4301
6127,九豪,電子零組件業,107.4,14.8,89.8,-16.4,44.4,20.6,14.4,❌,,-1.93,-2242
2455,全新,通信網路業,470.9,11.6,500.8,6.3,44.4,45.1,7.4,✅,,4.79,2790
4510,高鋒,電機機械,191.5,2.9,174.8,-8.7,43.8,39.0,-6.7,✅,,0.04,-473
6190,萬泰科,通信網路業,1061.9,-0.2,1001.0,-5.7,43.5,45.0,14.9,✅,,-1.28,-349
6218,豪勉,通信網路業,141.1,37.0,111.8,-20.7,43.5,34.2,50.3,❌,,4.25,1311
6005,群益證,金融保險業,3030.6,48.1,2543.9,-16.1,43.5,45.3,-110.2,✅,,0.16,-6065
2364,倫飛,電腦及週邊設備業,180.2,-5.0,200.1,11.0,43.2,51.5,48.8,❌,,-1.48,-699
2404,漢唐,其他電子業,9392.4,-5.6,10361.0,10.3,42.8,59.0,-41.5,❌,,-0.31,-134
3711,日月光投控,半導體業,82247.4,11.5,86413.2,5.1,42.7,43.1,23.9,✅,,-0.13,25879
6214,精誠,資訊服務業,5900.1,24.4,7672.9,30.0,42.7,61.9,30.4,❌,,1.07,849
3312,弘憶股,電子通路業,2258.0,-13.3,2398.4,6.2,42.4,40.7,22.4,✅,,-0.23,-215
4961,天鈺,半導體業,2110.0,7.3,1971.1,-6.6,42.2,32.9,32.8,❌,,-0.16,1692
6202,盛群,半導體業,361.7,-1.0,345.5,-4.5,42.2,40.8,33.9,✅,,0.02,-692
8076,伍豐,電腦及週邊設備業,232.5,-8.4,271.2,16.6,42.2,93.9,53.5,—,⚠️換檔(YoY將失速),-0.43,-473
1727,中華化,化學工業,256.6,9.1,255.5,-0.5,41.9,32.5,-6.6,❌,,1.23,-2502
2428,興勤,電子零組件業,942.6,-3.7,1010.4,7.2,41.8,48.4,29.0,✅,,-1.34,-707
2027,大成鋼,鋼鐵工業,12385.6,-1.8,12440.5,0.4,41.6,46.1,8.4,✅,,0.16,1021
6505,台塑化,油電燃氣業,81905.7,9.5,74182.7,-9.4,41.3,32.3,5.5,❌,,0.08,4541
2441,超豐,半導體業,2043.1,2.3,1979.1,-3.1,41.2,41.6,27.4,✅,,0.5,-2724
2316,楠梓電,電子零組件業,466.4,-8.6,553.5,18.7,41.2,61.2,22.1,❌,,0.31,435
6831,邁科,電腦及週邊設備業,512.4,-7.4,474.6,-7.4,41.1,29.3,40.0,❌,,-2.31,-805
4534,慶騰,電機機械,94.3,-19.1,97.0,2.9,41.0,42.5,13.3,✅,,0.43,-660
2889,國票金,金融保險業,1357.2,22.1,1361.7,0.3,41.0,51.9,-96.0,❌,,-0.62,13416
6451,訊芯-KY,半導體業,691.8,-11.0,719.9,4.1,40.5,40.5,43.3,—,,-2.26,-389
1597,直得,電機機械,133.1,-2.6,134.4,1.0,40.5,45.2,-6.1,✅,,-3.32,289
1303,南亞,塑膠工業,30601.2,0.1,31101.6,1.6,40.3,44.5,25.1,✅,,-0.22,265
2478,大毅,電子零組件業,636.6,-3.7,637.6,0.2,40.2,43.6,30.1,✅,,-0.42,-1415
5608,四維航,航運業,371.5,2.6,361.1,-2.8,40.2,39.1,33.1,✅,,0.97,778
5426,振發,電腦及週邊設備業,193.9,-13.8,205.4,5.9,40.0,44.5,37.5,✅,,-0.04,272
4114,健喬,生技醫療業,754.3,-4.7,753.4,-0.1,39.9,49.9,36.4,❌,,0.13,239
3030,德律,其他電子業,997.4,-3.5,787.4,-21.1,39.7,31.9,17.1,❌,,0.35,-180
8042,金山電,電子零組件業,482.0,10.3,483.4,0.3,39.5,40.3,7.5,✅,,-1.38,-3195
3056,富華新,建材營造業,91.8,44.9,100.9,9.9,39.3,28.9,53.9,❌,,0.2,179
