代碼,名稱,產業,上月實際(百萬),預測(百萬),預測YoY%,近3月YoY中位,加速度pp,兩法一致,大戶週Δpp,法人5日(張)
3376,新日興,電子零組件業,921.9,883.2,-2.3,-10.0,7.2,❌,3.19,5799
4956,光鋐,光電業,113.6,116.2,-2.6,-0.8,-13.4,✅,0.57,-1198
8436,大江,生技醫療業,603.0,568.7,-2.7,-9.7,-10.0,❌,-0.25,-432
1707,葡萄王,生技醫療業,819.6,735.0,-2.7,-6.0,-4.7,✅,0.02,-398
3703,欣陸,建材營造業,2614.2,2512.1,-3.1,-5.5,7.3,✅,-0.04,-2682
6412,群電,電子零組件業,3100.0,2820.5,-3.1,-10.2,-5.0,❌,-0.05,577
3630,新鉅科,光電業,183.1,177.4,-3.1,-3.9,-22.1,✅,0.14,206
6715,嘉基,電子零組件業,131.5,121.2,-3.3,-11.6,-29.3,❌,-0.25,-884
4303,信立,塑膠工業,89.4,89.2,-3.4,0.4,-24.5,✅,1.27,-123
8222,寶一,電機機械,68.4,60.0,-3.7,-10.3,-4.1,❌,-0.45,168
8064,東捷,光電業,205.5,233.1,-3.8,15.9,-12.8,❌,0.07,421
4746,台耀,生技醫療業,421.9,361.6,-3.9,-4.9,1.1,✅,-1.87,-728
1455,集盛,紡織纖維,464.9,478.7,-3.9,-4.9,18.9,✅,-0.08,1448
1722,台肥,化學工業,815.6,863.2,-4.0,-1.0,-19.9,✅,-0.33,2774
2915,潤泰全,貿易百貨業,237.3,163.9,-4.3,-21.4,13.9,❌,-0.04,-2206
8085,福華,其他電子業,46.5,48.6,-4.6,-16.3,-15.1,❌,0.63,73
5381,光譜,電機機械,133.3,217.8,-4.6,16.6,49.7,❌,0.19,313
9904,寶成,運動休閒,18951.5,18759.4,-4.7,0.2,11.3,❌,-0.09,-20210
2498,宏達電,通信網路業,292.4,140.5,-4.7,-8.5,-0.2,✅,0.24,631
3694,海華,通信網路業,1001.9,1025.4,-4.8,-4.8,-32.1,✅,-0.22,131
9910,豐泰,運動休閒,6839.3,6961.2,-4.9,-3.9,3.8,✅,-0.06,-1450
3287,廣寰科,電腦及週邊設備業,65.7,70.5,-5.0,-1.6,-5.3,✅,-0.01,214
3716,中化控股,生技醫療業,663.8,612.1,-5.4,-5.4,-5.5,—,-0.32,-685
2392,正崴,電子零組件業,5498.6,6369.0,-5.4,-5.5,13.4,✅,1.24,1582
1218,泰山,食品工業,713.7,845.0,-5.5,-1.4,-7.7,✅,0.01,-647
2385,群光,電子零組件業,7888.7,7597.9,-5.5,-9.4,-11.7,✅,0.25,5150
4743,合一,生技醫療業,10.5,16.4,-5.5,26.4,-40.0,❌,0.07,-36
3380,明泰,通信網路業,2271.3,1679.5,-5.7,-8.0,-13.5,✅,-0.09,-1403
6207,雷科,電子零組件業,85.6,100.2,-5.7,3.6,12.8,❌,0.53,-905
6477,安集,光電業,72.9,82.0,-5.8,-1.2,-65.8,✅,-0.25,209
3545,敦泰,半導體業,900.1,997.8,-6.1,-14.3,1.7,❌,-0.03,423
6188,廣明,電腦及週邊設備業,748.3,610.7,-6.4,-11.9,1.0,❌,0.19,-105
8111,立碁,光電業,71.2,71.8,-6.5,-5.8,2.7,✅,2.65,1322
6719,力智,半導體業,371.6,336.1,-6.6,-9.6,-8.7,✅,-0.24,-289
2206,三陽工業,汽車工業,5068.8,5360.3,-6.8,-8.9,-3.3,✅,0.05,-182
1312,國喬,塑膠工業,1277.5,1384.3,-7.5,-0.2,-17.7,❌,0.6,24989
6176,瑞儀,光電業,3693.6,3840.2,-7.6,-11.7,-8.0,✅,-56.09,-2298
1104,環泥,水泥工業,508.5,529.1,-8.0,-9.0,5.6,✅,-0.14,-862
3217,優群,電子零組件業,324.2,326.3,-8.2,-13.3,-18.2,❌,0.28,-332
1810,和成,玻璃陶瓷,391.5,369.3,-8.5,-6.7,5.3,✅,0.39,-1217
4960,誠美材,光電業,655.1,673.0,-8.6,-5.6,15.8,✅,0.16,1474
4906,正文,通信網路業,1193.3,1061.7,-9.4,-11.9,27.9,✅,-0.81,-7963
9907,統一實,其他業,3715.2,3437.8,-9.9,-20.0,-3.2,❌,0.24,4750
3490,單井,光電業,21.7,24.9,-9.9,-2.1,7.1,❌,2.39,-1327
1612,宏泰,電器電纜,717.2,626.5,-9.9,-11.3,-17.3,✅,0.69,497
1304,台聚,塑膠工業,2879.2,3162.6,-10.0,-1.4,1.4,❌,0.21,3098
2354,鴻準,其他電子業,15054.9,14011.0,-10.1,-40.6,-17.1,❌,0.87,15604
1582,信錦,電子零組件業,624.5,636.5,-10.2,-9.5,-9.4,✅,-0.12,-130
4167,松瑞藥,生技醫療業,102.3,97.6,-10.4,-19.4,-8.5,❌,3.82,-833
2349,錸德,光電業,644.9,733.1,-10.7,-2.0,5.7,❌,0.03,254
1710,東聯,化學工業,1514.0,1515.7,-11.9,-18.2,-16.1,❌,0.32,3822
3363,上詮,通信網路業,157.4,133.8,-12.2,-24.8,-14.0,❌,2.46,1211
1440,南紡,紡織纖維,1046.1,978.6,-12.5,-13.4,2.6,✅,0.07,2227
2457,飛宏,電子零組件業,730.0,869.2,-12.7,-9.4,-4.5,✅,0.21,-1355
2504,國產,建材營造業,1493.9,1603.4,-12.8,-10.2,-0.3,✅,0.12,-1868
2033,佳大,鋼鐵工業,47.2,53.8,-15.4,-1.9,-16.4,❌,0.77,-177
2377,微星,電腦及週邊設備業,17755.9,16301.3,-15.7,-22.2,-19.4,❌,0.17,10618
