訊號等級,策略,代碼,收盤,當日%,停損,風險%,RS相對強度,量比(vs均),狀態,日期
PRE,A+B+C 籌碼趨勢（M哥完整版）,2511.TW,8.6,0.23,0.0,0.0,0.95,0.8,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,4438.TW,61.2,0.49,0.0,0.0,0.95,1.8,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2901.TW,24.0,0.0,0.0,0.0,0.94,1.5,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,9938.TW,46.7,1.74,0.0,0.0,0.94,1.3,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1442.TW,29.9,1.02,0.0,0.0,0.93,1.5,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1527.TW,33.6,0.15,0.0,0.0,0.93,0.8,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2646.TW,21.3,0.47,0.0,0.0,0.93,0.9,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,8411.TW,12.6,0.8,0.0,0.0,0.93,0.6,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1474.TW,10.5,0.48,0.0,0.0,0.92,0.5,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1808.TW,31.8,-1.24,0.0,0.0,0.92,1.1,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2015.TW,63.7,0.0,0.0,0.0,0.92,0.6,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2201.TW,28.3,-1.74,0.0,0.0,0.92,1.0,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2348.TW,77.5,-0.64,0.0,0.0,0.92,1.1,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2706.TW,12.8,0.39,0.0,0.0,0.92,2.7,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,3266.TW,14.1,0.36,0.0,0.0,0.92,2.1,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,9940.TW,20.5,2.76,0.0,0.0,0.92,2.1,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1464.TW,10.4,0.97,0.0,0.0,0.91,0.6,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2012.TW,15.6,0.65,0.0,0.0,0.91,0.4,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2105.TW,33.2,-1.19,0.0,0.0,0.91,0.9,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,7767.TWO,46.0,3.84,0.0,0.0,0.91,0.4,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1476.TW,336.5,0.9,0.0,0.0,0.9,1.7,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2031.TW,39.0,-0.76,0.0,0.0,0.9,0.9,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2106.TW,18.1,0.0,0.0,0.0,0.9,1.0,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2115.TW,22.0,1.38,0.0,0.0,0.9,0.9,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2611.TW,14.2,1.43,0.0,0.0,0.9,0.7,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2701.TW,10.9,0.92,0.0,0.0,0.9,2.1,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,8222.TW,37.8,1.48,0.0,0.0,0.9,1.0,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,4911.TWO,34.8,-0.14,0.0,0.0,0.9,0.8,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,8102.TWO,72.1,-3.22,0.0,0.0,0.9,0.7,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1463.TW,18.0,1.98,0.0,0.0,0.89,1.2,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1615.TW,46.5,-1.59,0.0,0.0,0.89,1.4,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1702.TW,33.9,0.0,0.0,0.0,0.89,1.0,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1783.TW,40.2,0.0,0.0,0.0,0.89,1.1,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1806.TW,8.2,-0.12,0.0,0.0,0.89,0.5,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,3705.TW,55.0,1.48,0.0,0.0,0.89,0.7,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,8404.TW,16.9,0.6,0.0,0.0,0.89,0.8,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,5704.TWO,21.5,-0.23,0.0,0.0,0.89,0.4,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1217.TW,9.9,-0.1,0.0,0.0,0.88,0.4,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1339.TW,44.2,1.84,0.0,0.0,0.88,1.2,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1903.TW,48.7,0.0,0.0,0.0,0.88,0.5,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,4119.TW,46.7,0.76,0.0,0.0,0.88,0.9,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,8464.TW,360.0,0.28,0.0,0.0,0.88,1.0,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2101.TW,33.5,-1.47,0.0,0.0,0.87,1.0,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2207.TW,490.0,0.82,0.0,0.0,0.87,1.1,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,6533.TW,231.0,10.0,0.0,0.0,0.87,2.0,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1475.TW,27.5,0.55,0.0,0.0,0.86,1.1,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2102.TW,18.9,1.89,0.0,0.0,0.86,0.7,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2705.TW,16.2,0.0,0.0,0.0,0.86,0.8,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,4426.TW,8.3,0.97,0.0,0.0,0.86,0.4,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,6919.TW,106.5,2.9,0.0,0.0,0.86,0.9,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,8482.TW,48.8,1.99,0.0,0.0,0.86,3.3,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,6240.TWO,18.0,-2.7,0.0,0.0,0.86,2.5,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1341.TW,58.6,0.0,0.0,0.0,0.85,0.4,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1731.TW,20.6,0.49,0.0,0.0,0.85,1.0,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2608.TW,29.4,-0.17,0.0,0.0,0.85,1.6,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,4104.TW,71.2,0.71,0.0,0.0,0.85,0.9,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,8367.TW,40.7,0.99,0.0,0.0,0.85,0.7,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,6130.TWO,25.0,0.4,0.0,0.0,0.84,0.5,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,4994.TW,92.6,0.33,0.0,0.0,0.83,1.3,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2530.TW,20.0,2.82,0.0,0.0,0.82,1.7,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2540.TW,54.0,0.93,0.0,0.0,0.82,1.1,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1626.TW,10.1,-0.5,0.0,0.0,0.81,0.3,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,2539.TW,40.4,-0.98,0.0,0.0,0.81,1.3,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,6965.TW,79.2,0.25,0.0,0.0,0.81,2.2,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1541.TW,22.0,0.23,0.0,0.0,0.8,1.6,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,1445.TW,11.3,-0.44,0.0,0.0,0.78,0.4,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,4414.TW,8.5,0.59,0.0,0.0,0.74,0.7,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,4178.TW,19.3,-3.5,0.0,0.0,0.71,2.7,均線轉下出場,2026-07-20
PRE,A+B+C 籌碼趨勢（M哥完整版）,8489.TWO,22.9,-0.22,0.0,0.0,0.71,0.5,均線轉下出場,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,6834.TW,94.6,-1.77,0.0,0.0,2.37,0.9,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,2302.TW,39.2,-2.85,0.0,0.0,1.89,0.5,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,3055.TW,161.5,-0.92,0.0,0.0,1.77,0.3,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,2478.TW,131.0,-8.07,0.0,0.0,1.76,1.0,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,2491.TW,30.8,-2.38,0.0,0.0,1.74,0.4,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,8261.TW,229.0,-8.76,0.0,0.0,1.74,0.2,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,1718.TW,13.0,-4.76,0.0,0.0,1.73,0.1,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,1515.TW,44.0,7.45,0.0,0.0,1.68,0.6,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,2493.TW,217.0,2.6,0.0,0.0,1.61,1.5,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,3149.TW,76.2,-4.27,0.0,0.0,1.61,0.5,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,2483.TW,41.9,-3.68,0.0,0.0,1.57,0.6,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,6116.TW,14.3,-4.67,0.0,0.0,1.51,0.4,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,2375.TW,135.5,-8.75,0.0,0.0,1.49,0.5,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,6166.TW,120.0,0.42,0.0,0.0,1.42,1.3,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,2472.TW,265.5,-7.81,0.0,0.0,1.37,0.6,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,6658.TW,155.5,-3.12,0.0,0.0,1.37,0.5,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,1447.TW,7.8,-5.02,0.0,0.0,1.35,0.3,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,6505.TW,77.7,-4.43,0.0,0.0,1.34,2.8,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,6573.TW,20.0,-1.48,0.0,0.0,1.33,0.4,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,8454.TW,253.5,-0.2,0.0,0.0,1.31,0.5,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,9105.TW,8.4,0.48,0.0,0.0,1.31,0.8,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,6449.TW,238.5,-6.1,0.0,0.0,1.29,1.0,扣抵預警+籌碼（A即將成立）,2026-07-20
PRE-DEF,A+B+C 籌碼趨勢（M哥完整版）,2377.TW,141.5,0.0,0.0,0.0,1.28,0.8,扣抵預警+籌碼（A即將成立）,2026-07-20
