wcode,kind,uname,ucode
031295,call,亞光,3019
031296,call,亞光,3019
031297,call,亞光,3019
031298,call,智原,3035
03129T,put,元大台灣50,0050
031300,call,玉晶光,3406
031301,call,玉晶光,3406
031303,call,嘉澤,3533
031304,call,嘉澤,3533
031305,call,貿聯-KY,3665
031307,call,智伸科,4551
031308,call,智伸科,4551
031309,call,南寶,4766
031310,call,南寶,4766
031311,call,上品,4770
031313,call,立積,4968
031315,call,飛捷,6206
031316,call,台塑化,6505
031317,call,愛普*,6531
031318,call,緯穎,6669
031319,call,緯穎,6669
03131T,put,鴻海,2317
031320,call,視陽,6782
031321,call,昇陽半導體,8028
031323,call,億豐,8464
03132T,put,智邦,2345
03133T,put,南亞科,2408
03134T,put,盟立,2464
03135T,put,力積電,6770
031367,call,長榮航太,2645
03137T,put,聯發科,2454
031387,call,奇鋐,3017
03138T,put,AES-KY,6781
031404,call,光寶科,2301
03140T,put,華邦電,2344
03141T,put,群創,3481
03142T,put,力積電,6770
03144T,put,元大台灣50,0050
03145T,put,元大台灣50,0050
031473,call,光寶科,2301
03147T,put,AES-KY,6781
03150T,put,台積電,2330
031510,call,聯茂,6213
031512,call,富世達,6805
031518,call,中興電,1513
03151T,put,華邦電,2344
031526,call,鴻海,2317
03152T,put,群創,3481
03153T,put,群創,3481
031549,call,大亞,1609
03154T,put,元大台灣50,0050
031552,call,川湖,2059
03155T,put,川湖,2059
03156T,put,啟碁,6285
03157T,put,力積電,6770
031590,call,鴻海,2317
03159T,put,元大台灣50,0050
03162T,put,聯電,2303
031638,call,大成鋼,2027
03163T,put,台積電,2330
031643,call,鴻海,2317
031645,call,台積電,2330
03164T,put,日月光投控,3711
03165T,put,華邦電,2344
03166T,put,勤誠,8210
031678,call,台積電,2330
03168T,put,金寶,2312
03169T,put,群創,3481
03170T,put,鈞興-KY,4571
03171T,put,昇陽半導體,8028
03174T,put,啟碁,6285
03175T,put,力積電,6770
03178T,put,聯發科,2454
031804,call,南亞,1303
031805,call,鴻海,2317
031806,call,鴻海,2317
031808,call,金像電,2368
031809,call,漢唐,2404
031813,call,緯穎,6669
03182T,put,台積電,2330
031834,call,鴻海,2317
03183T,put,台積電,2330
03184T,put,聯發科,2454
031853,call,富世達,6805
03185T,put,元大台灣50,0050
03186T,put,元大台灣50,0050
031874,call,奇鋐,3017
031878,call,大銀微系統,4576
03190T,put,聯發科,2454
03191T,put,貿聯-KY,3665
031940,call,奇鋐,3017
03194T,put,台積電,2330
03195T,put,台積電,2330
03196T,put,台積電,2330
03197T,put,台積電,2330
03198T,put,台積電,2330
03199T,put,台積電,2330
03200T,put,威盛,2388
03201T,put,聯發科,2454
032027,call,奇鋐,3017
03202T,put,聯發科,2454
03203T,put,眾達-KY,4977
032043,call,宏達電,2498
03204T,put,元大台灣50,0050
03206T,put,台積電,2330
032075,call,鴻海,2317
03207T,put,聯發科,2454
032089,call,大銀微系統,4576
03208T,put,晶豪科,3006
032097,call,南電,8046
03209T,put,嘉晶,3016
03212T,put,台積電,2330
03213T,put,台積電,2330
032149,call,元大台灣50,0050
032154,call,京元電子,2449
03215T,put,智邦,2345
03216T,put,漢唐,2404
03217T,put,漢唐,2404
03218T,put,南亞科,2408
03219T,put,京元電子,2449
03220T,put,緯創,3231
03221T,put,日月光投控,3711
032223,call,世芯-KY,3661
03222T,put,jpp-KY,5284
03223T,put,台積電,2330
03224T,put,南亞,1303
03225T,put,晶豪科,3006
03227T,put,台積電,2330
03228T,put,兆赫,2485
03229T,put,世芯-KY,3661
03230T,put,世芯-KY,3661
032312,call,宏達電,2498
032332,call,台達電,2308
032334,call,金像電,2368
03233T,put,台積電,2330
03234T,put,智邦,2345
032356,call,緯創,3231
032357,call,臻鼎-KY,4958
03235T,put,緯創,3231
032361,call,元大台灣50,0050
03237T,put,南亞科,2408
032385,call,鴻海,2317
032388,call,台積電,2330
03238T,put,世芯-KY,3661
03241T,put,元大台灣50,0050
03242T,put,元大台灣50,0050
032433,call,緯穎,6669
03243T,put,元大台灣50,0050
03246T,put,台積電,2330
032511,call,世芯-KY,3661
03251T,put,聯電,2303
032525,call,欣興,3037
03252T,put,台積電,2330
03253T,put,元大台灣50,0050
03255T,put,創見,2451
032564,call,鴻海,2317
032566,call,智邦,2345
032568,call,漢唐,2404
032573,call,神基,3005
032575,call,健策,3653
032579,call,晶心科,6533
03257T,put,元大台灣50,0050
032582,call,富世達,6805
03259T,put,鴻海,2317
03260T,put,鴻準,2354
03261T,put,漢唐,2404
